course_id,course_title,primary_instructor,average_grade
IS 582,Rare Books and Special Collect,"Oliver, Megan A",3.68
IS 582,Rare Books and Special Collect,"Vincler, John M",
IS 582,Student Success Librarianship,"Emerson, Maria E",
IS 582,Theological Librarianship,"Berryhill, Carisse M",
IS 583,Book as a Physical Object,"Berger, Sidney E",3.32
IS 583,BookLab: Print to Programming,"Cordell, Ryan C",3.67
IS 583,History of the Book,"Mak, Bonnie",3.73
IS 583,Print Culture & Material Book,"Vincler, John M",3.94
IS 584,Int. Freedom and Censorship,"Knox, Emily J",
IS 585,Bibliographic Metadata,"Bothmann, Robert L",3.84
IS 585,Bibliographic Metadata,"Oberg, Steven J",3.92
IS 590,Causal Inference Mach Learning,"Bosch, Nigel",
IS 591,Adv Copyright for Info Prof,"Benson, Sara R",
IS 591,Data-Driven Prac Libraries,"Goek, Sara",
IS 591,E-Learning,"Wong, Melissa A",
IS 591,Music Librarianship,"Johnson, Kirstin D",
IS 591,Public Library Partnerships,"Stier, Zachary L",
IS 592,Grant Writing for Libraries,"Craig, Anne",
IS 592,Grant Writing for Libraries,"Egan, Karen J",3.9
IS 592,Public Librarianship,"Holba Puacz, Jeanne T",3.96
IS 592,State Libraries and Consortia,"Craig, Anne",
IS 593,AV Materials Libs & Archives,"Jones, Jimi L",3.96
IS 593,Archiving the Web,"Maemura, Emily",
IS 593,Presv & Consv Spec Colls Care,"Teper, Jennifer H",
IS 594,Change Catalysts: Adapt/Perish,"Charles, David S",
IS 594,Eval & Assess of Libr Services,"Hinchliffe, Lisa J",
IS 594,Financial Mgmt of Libraries,"Besser, Stephanie A",3.86
IS 594,Government Information,"Hallett, Karen D",
IS 595,Adv Bibliographic Metadata,"Lopez, Mark A",
IS 596,Designing Intelligent Systems,"Chin, Jessie",
IS 596,Global Health Informatics,"Brooks, Ian S",
IS 597,Data Structures & Algorithms,"Weible, John D",
IS 597,Human Centered Data Science,"Wang, Dong",
IS 597,Machine Learning Cloud,"Tibebu, Haileleol",
IS 597,Machine Learning Cloud,"Trainor, Kevin",3.81
IS 597,Progr. & Quality in Analytics,"Weible, John D",3.66
IS 597,Trustworthy Machine Learning,"Wang, Haohan",
MATH 101,Thinking Mathematically,"Dobbs, Theresa M",2.91
MATH 103,Theory of Arithmetic,"Pinto, Anisha Adolphus",3.01
MATH 112,Algebra,"Dobbs, Theresa M",3.22
MATH 112,Algebra,"Placzek, Laura E",2.86
MATH 115,Preparation for Calculus,"Placzek, Laura E",2.73
MATH 117,Elementary Mathematics,"Dobbs, Theresa M",
MATH 124,Finite Mathematics,"Arbelo Ramos, Jose P",2.55
MATH 124,Finite Mathematics,"Ebel, Sterling",2.81
MATH 124,Finite Mathematics,"Gallardo, David",
MATH 124,Finite Mathematics,"Khawaja, Arhum N",3.1
MATH 181,A Mathematical World,"Reddy, Alison",3.14
MATH 199,Merit for MATH 115,"Goldman-Nagel, Abigail H",
MATH 199,Merit for MATH 285,"Kang, Wonwoo",
MATH 199,Merit for Math 115,"Kamel, Yigal",3.86
MATH 199,Merit for Math 115,"Schideman, Katrina E",3.64
MATH 199,Merit for Math 285,"Song, Zhuo Qun",3.65
MATH 213,Basic Discrete Mathematics,"Bodish, Holt W",3.56
MATH 213,Basic Discrete Mathematics,"Castle, Benjamin T",3.16
MATH 213,Basic Discrete Mathematics,"Hardt, Andrew B",3.39
MATH 213,Basic Discrete Mathematics,"Rasmussen, Jacob A",3.26
MATH 220,Calculus,"Genlik, Deniz",2.58
MATH 220,Calculus,"Srikant, Jenny J",2.49
MATH 220,Calculus,"Whittlesey, Kim",2.1
MATH 221,Calculus I,"Petrickova, Sarka",3.08
MATH 221,Calculus I,"Whittlesey, Kim",2.95
MATH 225,Introductory Matrix Theory,"Albin, Pierre",
MATH 225,Introductory Matrix Theory,"Bradlow, Steven B",2.66
MATH 227,Linear Algebra for Data Sci,"Petrickova, Sarka",3.44
MATH 231,Calculus II,"Bahreini Esfaha, Manijeh",3.09
MATH 231,Calculus II,"Guo, Meng",3.16
MATH 231,Calculus II,"La Nave, Gabriele",3.25
MATH 231,Calculus II,"Wang, Yi",3.35
MATH 231,Calculus II,"Yu, Xinran",
MATH 234,Calculus for Business I,"Dobbs, Theresa M",3.04
MATH 241,Calculus III,"Ahlgren, Scott D",3.14
MATH 241,Calculus III,"Dunfield, Nathan M",3.58
MATH 241,Calculus III,"Heller, Jeremiah B",2.62
MATH 241,Calculus III,"Ivanov, Sergei V",3.08
MATH 241,Calculus III,"Klajbor-Goderic, Stefanie",2.77
MATH 241,Calculus III,"Petrickova, Sarka",3.06
MATH 241,Calculus III,"Sowers, Richard B",2.55
MATH 241,Calculus III,"Stojanoska, Vesna",2.8
MATH 241,Calculus III,"Tolman, Susan",3.04
MATH 257,Linear Algebra w Computat Appl,"Chuang, Jer-Chin",3.15
MATH 257,Linear Algebra w Computat Appl,"Hirani, Anil N",3.11
MATH 257,Linear Algebra w Computat Appl,"Leditzky, Felix",3.21
MATH 257,Linear Algebra w Computat Appl,"Luecke, Kiran D",3.23
MATH 257,Linear Algebra w Computat Appl,"Nawaz, Tayyab",3.23
MATH 285,Intro Differential Equations,"Cavey, Ian R",3.59
MATH 285,Intro Differential Equations,"Clifton, Olivia C",3.52
MATH 285,Intro Differential Equations,"Hung, Pei Ken",3.5
MATH 285,Intro Differential Equations,"Manfroi, Aldo J",3.48
MATH 299,Topics in Mathematics,"La Nave, Gabriele",3.24
MATH 314,Intro Higher Math,"Dodd, Christopher S",3.42
MATH 347,Fundamental Mathematics,"Bodish, Holt W",3.6
MATH 347,Fundamental Mathematics,"Dutta, Sankar P",2.54
MATH 347,Fundamental Mathematics,"Fernando, Ravi K",3.38
MATH 347,Fundamental Mathematics,"Ford, Kevin",3.43
MATH 347,Fundamental Mathematics,"Hildebrand, A J",3.47
MATH 347,Fundamental Mathematics,"Ji, Lena M",3.1
MATH 347,Fundamental Mathematics,"Jiang, Yucong",3.31
MATH 347,Fundamental Mathematics,"Kutzarova-Ford, Denka N",3.52
MATH 347,Fundamental Mathematics,"Spinoza, Hannah R",3.52
MATH 402,Non Euclidean Geometry,"Chen, Eric C",3.19
MATH 402,Non Euclidean Geometry,"Zeiser, Florian M",3.46
MATH 403,Euclidean Geometry,"Mortensen, Karen P",3.6
MATH 403,Euclidean Geometry,"Zharnitsky, Vadim",3.16
MATH 412,Graph Theory,"Dhawan, Abhishek",3.19
MATH 412,Graph Theory,"Kostochka, Alexandr V",3.19
MATH 413,Intro to Combinatorics,"Yong, Alexander N",3.35
MATH 415,Applied Linear Algebra,"Chen, William Y",2.91
MATH 415,Applied Linear Algebra,"Kirr, Eduard-Wilhelm",3.01
MATH 416,Abstract Linear Algebra,"Chuang, Jer-Chin",3.15
MATH 416,Abstract Linear Algebra,"Di Francesco, Philippe",3.34
MATH 416,Abstract Linear Algebra,"Fernando, Ravi K",3.21
MATH 416,Abstract Linear Algebra,"Kerman, Ely",2.51
MATH 416,Abstract Linear Algebra,"Lerman, Eugene M",3.37
MATH 416,Abstract Linear Algebra,"Maitra, Neeladri",3.45
MATH 416,Abstract Linear Algebra,"Palmer, Joseph A",2.91
MATH 416,Abstract Linear Algebra,"Yu, Polly W",3.04
MATH 417,Intro to Abstract Algebra,"Gabdullin, Mikhail",2.74
MATH 417,Intro to Abstract Algebra,"Janda, Felix",2.91
MATH 417,Intro to Abstract Algebra,"Jiang, Yucong",3.02
MATH 417,Intro to Abstract Algebra,"Loja Fernandes, Rui A",3.14
MATH 417,Intro to Abstract Algebra,"Pascaleff, James",
MATH 418,Intro to Abstract Algebra II,"Hardt, Andrew B",3.35
MATH 424,Honors Real Analysis,"Erdogan, Mehmet B",3.46
MATH 424,Honors Real Analysis,"Young, Amanda M",3.49
MATH 425,Honors Advanced Analysis,"Erdogan, Mehmet B",
MATH 427,Honors Abstract Algebra,"Lerman, Eugene M",3.42
MATH 432,Set Theory and Topology,"Song, Renming",3.01
MATH 441,Differential Equations,"Clark, Carrie J",3.25
MATH 441,Differential Equations,"DeVille, Lee X",3.16
MATH 441,Differential Equations,"Keating, David A",3.2
MATH 441,Differential Equations,"Rapti, Zoi",2.62
MATH 441,Differential Equations,"Tzirakis, Nikolaos",3.07
MATH 442,Intro Partial Diff Equations,"Cho, Soobin",3.2
MATH 442,Intro Partial Diff Equations,"Kirr, Eduard-Wilhelm",
MATH 444,Elementary Real Analysis,"Hinkkanen, Aimo H",3.12
MATH 444,Elementary Real Analysis,"Li, Xiaochun",3.39
MATH 444,Elementary Real Analysis,"Nie, Zipei",3.26
MATH 444,Elementary Real Analysis,"Thorner, Jesse A",3.15
MATH 444,Elementary Real Analysis,"Zhang, Hao",3.54
MATH 446,Applied Complex Variables,"Nikolaev, Igor G",3.04
MATH 447,Real Variables,"DeVille, Lee X",3.66
MATH 447,Real Variables,"Oikhberg, Timur",3.22
MATH 448,Complex Variables,"Tumanov, Alexander E",
MATH 453,Number Theory,"Liu, Yuan",3.54
MATH 453,Number Theory,"Wang, Yi",3.22
MATH 453,Number Theory,"Zaharescu, Alexandru",3.58
MATH 461,Probability Theory,"Song, Renming",2.49
MATH 466,Applied Random Processes,"Cho, Soobin",
MATH 481,Vector and Tensor Analysis,"Dey, Partha S",
MATH 481,Vector and Tensor Analysis,"Hinkkanen, Aimo H",
MATH 482,Linear Programming,"Dhawan, Abhishek",3.02
MATH 482,Linear Programming,"Wigal, Michael C",3.23
MATH 484,Nonlinear Programming,"Bradshaw, Peter",3.42
MATH 495,Models in Mathematical Biology,"Cooney, Daniel B",3.69
MATH 500,Abstract Algebra I,"Dunfield, Nathan M",
MATH 500,Abstract Algebra I,"Rezk, Charles W",3.67
MATH 501,Abstract Algebra II,"Mineyev, Igor",
MATH 511,Intro to Algebraic Geometry,"Cavey, Ian R",
MATH 519,Differentiable Manifolds II,"Loja Fernandes, Rui A",
MATH 522,Lie Groups and Lie Algebras I,"Haboush, William J",
MATH 525,Algebraic Topology I,"Pascaleff, James",
MATH 527,Homotopy Theory,"Rezk, Charles W",3.96
MATH 530,Algebraic Number Theory,"Liu, Yuan",
MATH 532,Analytic Theory of Numbers II,"Thorner, Jesse A",
MATH 540,Real Analysis,"Gabdullin, Mikhail",3.22
MATH 540,Real Analysis,"Oikhberg, Timur",3.73
MATH 541,Functional Analysis,"Kutzarova-Ford, Denka N",
MATH 542,Complex Variables I,"Laugesen, Richard S",3.62
MATH 550,Dynamical Systems I,"Bronski, Jared C",
MATH 553,Partial Differential Equations,"Tzirakis, Nikolaos",
MATH 561,Theory of Probability I,"Wu, Xuan",
MATH 585,Probabilistic Combinatorics,"Methuku, Abhishek",
MATH 595,Exponential Sums,"Zaharescu, Alexandru",
MATH 595,Floer Theory With Applications,"Kerman, Ely",
MATH 595,Integers and Permutations,"Ford, Kevin",
MATH 595,Optimum Control Systems,"Liberzon, Daniel M",
MATH 595,Stochastic Processes on Graphs,"Dey, Partha S",
MATH 595,String Theory fr Mathematician,"Katz, Sheldon",
PHIL 100,Intro to Philosophy-ACP,"Rowe, James F",
PHIL 100,Intro to Philosophy-ACP,"Tobias, Zachary D",3.13
PHIL 101,Introduction to Philosophy,"Ben Moshe, Nir",3.1
PHIL 101,Introduction to Philosophy,"Ewing, James",3.08
PHIL 101,Introduction to Philosophy,"Rowe, James F",3.3
PHIL 102,Logic and Reasoning,"Thomas, Derek R",
PHIL 103,Logic and Reasoning QR II,"Ewing, James",
PHIL 103,Logic and Reasoning QR II,"York, Ian",2.82
PHIL 104,Intro to Ethics-ACP,"Bojanowski, Jochen",3.42
PHIL 105,Introduction to Ethics,"Durso, Daniel",3.85
PHIL 105,Introduction to Ethics,"Smith, Andrew L",3.53
PHIL 106,Ethics and Social Policy,"Lopez Romero, Ana Itzel",3.65
PHIL 107,Intro to Political Philosophy,"Biondi, Zachary",3.35
PHIL 201,Philosophy in Literature,"Ben Moshe, Nir",3.53
PHIL 202,Symbolic Logic,"Livengood, Jonathan M",3.44
PHIL 202,Symbolic Logic,"Nowakowski, Paul",3.35
PHIL 203,Ancient Philosophy,"Jensen, Erik R",3.54
PHIL 203,Ancient Philosophy,"Sanders, Kirk",2.96
PHIL 206,Early Modern Philosophy,"Weinberg, Shelley E",3.22
PHIL 219,"Phil of Class, Gender, & Race","Erlenbusch-Ande, Verena",
PHIL 222,Philosophical Foundations CS,"Kishida, Kohei",3.72
PHIL 223,Minds & Machines,"Scharp, Kevin A",3.12
PHIL 250,Conceptions of Human Nature,"Durso, Daniel",3.49
PHIL 380,Current Controversies,"Kerr, Alison D",
PHIL 380,Current Controversies,"Schwenkler, John L",3.48
PHIL 410,Classican Ancient Philosophers,"Biondi, Zachary",
PHIL 411,Nineteenth Century Philosophy,"Ben Moshe, Nir",
PHIL 412,Classical Modern Philosophers,"Weinberg, Shelley E",
PHIL 421,Ethical Theories,"Biondi, Zachary",3.36
PHIL 424,Philosophy of Religion,"Weaver, Christopher G",
PHIL 425,Philosophy of Mind,"Schwenkler, John L",3.49
PHIL 426,Metaphysics,"Saenz, Noel B",3.22
PHIL 426,Metaphysics,"Weaver, Christopher G",
PHIL 430,Theory of Knowledge,"Livengood, Jonathan M",3.72
PHIL 439,Philosophy of Mathematics,"Kishida, Kohei",
PHIL 440,Ethics of AI,"Biondi, Zachary",2.82
PHIL 441,Existential Philosophy,"Byrne, Thomas",3.48
PHIL 442,The AI Revolution,"Scharp, Kevin A",3.33
PHIL 443,Phenomenology,"Byrne, Thomas",
PHIL 454,Advanced Symbolic Logic,"Scharp, Kevin A",3.2
PHIL 460,Philosophy of Statistics,"Livengood, Jonathan M",
PHIL 477,Philosophy of Psychology,"Livengood, Jonathan M",3.75
PHIL 499,Capstone Seminar,"Biondi, Zachary",
PHIL 499,Capstone Seminar,"Varden, Helga",
PHIL 501,Seminar History of Philosophy,"Varden, Helga",
PHIL 511,Seminar Ethical Theory,"Schwenkler, John L",
PHIL 521,Seminar Contemporary Problems,"Scharp, Kevin A",
RHET 102,Principles of Research,"Canipe, Joshua",
RHET 102,Principles of Research,"Flanagan, Ryan P",
RHET 102,Principles of Research,"Gaffney, Katherine A",
RHET 102,Principles of Research,"Gunter, Mark C",
RHET 102,Principles of Research,"Hays, Mary L",
RHET 102,Principles of Research,"Hurley, Michael J",
RHET 102,Principles of Research,"Lee, Jennifer A",
RHET 102,Principles of Research,"McDuffie, Kristi R",
RHET 102,Principles of Research,"McVicker, Zachariah P",
RHET 102,Principles of Research,"Odom, Michael J",
RHET 102,Principles of Research,"Williard, Jess M",
RHET 105,Writing and Research,"Anthony, Cora C",
RHET 105,Writing and Research,"Becker, Leah M",
RHET 105,Writing and Research,"Bergmark, Steven M",
RHET 105,Writing and Research,"Civello, Mitchel A",
RHET 105,Writing and Research,"Claborn, John P",
RHET 105,Writing and Research,"Cole, Megan E",
RHET 105,Writing and Research,"Cottingham, Mary Rose",
RHET 105,Writing and Research,"Demirel, Derya",
RHET 105,Writing and Research,"Dickerson, Curtis R",
RHET 105,Writing and Research,"Downey, Samantha G",
RHET 105,Writing and Research,"Escamilla, Isabella Pieda",
RHET 105,Writing and Research,"Fadely, Jonathan P",
RHET 105,Writing and Research,"Foley, David A",
RHET 105,Writing and Research,"Furlong, Madeline E",
RHET 105,Writing and Research,"Giugni, Andrea C",
RHET 105,Writing and Research,"Gomez, Trinidad C",
RHET 105,Writing and Research,"Gupta, Pallabi",
RHET 105,Writing and Research,"Hudek, Barry A",
RHET 105,Writing and Research,"Infante, Malina G",
RHET 105,Writing and Research,"Johnson, Audrey",
RHET 105,Writing and Research,"Johnson, Carrie A",
RHET 105,Writing and Research,"Kapczynski, Alexandria N",
RHET 105,Writing and Research,"Kim, Yio Kyoung",
RHET 105,Writing and Research,"Kraft, Julie K",
RHET 105,Writing and Research,"Landes, Brian",
RHET 105,Writing and Research,"Lindsey, Mary",
RHET 105,Writing and Research,"Luan, Qinglin",
RHET 105,Writing and Research,"MacLean, John P",
RHET 105,Writing and Research,"Martin, Calgary",
RHET 105,Writing and Research,"Matresse, Elizabeth M",
RHET 105,Writing and Research,"McLeer, Heather A",
RHET 105,Writing and Research,"McVeigh, Dafydd M",
RHET 105,Writing and Research,"Mecolli, Megi",
RHET 105,Writing and Research,"Mendoza, Evelyn G",
RHET 105,Writing and Research,"Menendez, Katherine",
RHET 105,Writing and Research,"Mercado, Justine L",
RHET 105,Writing and Research,"Metz, Nathaniel M",
RHET 105,Writing and Research,"Mier, Miranda E",
RHET 105,Writing and Research,"Miller, David L",
RHET 105,Writing and Research,"Morris, David",
RHET 105,Writing and Research,"Murray, Cyrus L",
RHET 105,Writing and Research,"Pacheco, Hilary",
RHET 105,Writing and Research,"Pfister, Jason C",
RHET 105,Writing and Research,"Rivera Lopez, Paola M",
RHET 105,Writing and Research,"Runkle, Stephen A",
RHET 105,Writing and Research,"Sellers, Edward J",
RHET 105,Writing and Research,"Simon, Zach J",
RHET 105,Writing and Research,"Stack, Garrett M",
RHET 105,Writing and Research,"Stoodley, Erin H",
RHET 105,Writing and Research,"Streitmatter, Olivia",
RHET 105,Writing and Research,"Towner, Diana",
RHET 105,Writing and Research,"VanCalbergh, Michael",
RHET 105,Writing and Research,"Villanueva, Corina A",
RHET 105,Writing and Research,"Vowels, Grace E",
RHET 105,Writing and Research,"Weber, Rebecca",
RHET 105,Writing and Research,"Zajdel, Carson C",
RHET 105,Writing and Research,"Zhang, Dan",
RHET 105,Writing and Research,"Zuniga, Isabel R",
RHET 233,Adv Rhetoric & Composition,"Gaffney, Katherine A",
RHET 233,Adv Rhetoric & Composition,"Gupta, Pallabi",3.8
RHET 233,Adv Rhetoric & Composition,"Hudek, Barry A",3.59
RHET 233,Adv Rhetoric & Composition,"Nyikos, Daniel",3.87
STAT 100,Statistics,"Flanagan, Karle A",3.37
STAT 100,Statistics,"Rao, V.N. Vimal",3.41
STAT 107,Data Science Discovery,"Flanagan, Karle A",3.54
STAT 200,Statistical Analysis,"Clement, Kit",3.52
STAT 207,Data Science Exploration,"Deeke, Julie M",3.6
STAT 207,Data Science Exploration,"Ellison, Victoria M",3.68
STAT 212,Biostatistics,"Findley, Kelly P",3.56
STAT 385,Statistics Programming Methods,"Eck, Daniel J",3.74
STAT 385,Statistics Programming Methods,"Jia, Weijia",3.41
STAT 385,Statistics Programming Methods,"Singh, Matthew F",3.98
STAT 400,Statistics and Probability I,"Unger, David",3.43
STAT 400,Statistics and Probability I,"Yu, Albert",3.48
STAT 408,Actuarial Statistics I,"Chatterjee, Sabyasachi",3.41
STAT 410,Statistics and Probability II,"Agterberg, Joshua S",2.68
STAT 410,Statistics and Probability II,"Kizildag, Eren Can",3.26
STAT 410,Statistics and Probability II,"Stepanov, Alexey G",3.15
STAT 420,Methods of Applied Statistics,"Deeke, Julie M",3.54
STAT 420,Methods of Applied Statistics,"Unger, David",3.82
STAT 424,Design of Experiments,"Chronopoulou, Alexandra",3.49
STAT 425,Statistical Modeling I,"Chronopoulou, Alexandra",3.39
STAT 425,Statistical Modeling I,"Douglas, Jeffrey A",3.82
STAT 425,Statistical Modeling I,"Jia, Weijia",3.54
STAT 425,Statistical Modeling I,"Simpson, Douglas G",3.78
STAT 425,Statistical Modeling I,"Zheng, Lili",3.52
STAT 426,Statistical Modeling II,"Douglas, Jeffrey A",3.18
STAT 426,Statistical Modeling II,"Jia, Weijia",3.65
STAT 426,Statistical Modeling II,"Park, Chan",3.12
STAT 426,Statistical Modeling II,"Yu, Ruoqi",3.31
STAT 427,Statistical Consulting,"Chronopoulou, Alexandra",3.86
STAT 428,Statistical Computing,"Wang, Shulei",3.5
STAT 428,Statistical Computing,"Zhang, Susu",3.96
STAT 429,Time Series Analysis,"Lee, Hyoeun",3.36
STAT 430,Machine Learning w/ TimeSeries,"Lee, Hyoeun",3.89
STAT 430,Math?l Optimization with ML,"Ellison, Victoria M",3.57
STAT 430,Topic: Baseball Analytics,"Eck, Daniel J",3.53
STAT 431,Applied Bayesian Analysis,"Culpepper, Steven A",3.64
STAT 431,Applied Bayesian Analysis,"Park, Trevor H",3.78
STAT 432,Basics of Statistical Learning,"Dayanikli, Gokce",3.58
STAT 432,Basics of Statistical Learning,"Lee, Hyoeun",3.83
STAT 432,Basics of Statistical Learning,"Zhu, Ruoqing",3.3
STAT 433,Stochastic Processes,"Stepanov, Alexey G",3.51
STAT 437,Unsupervised Learning,"Ellison, Victoria M",3.56
STAT 440,Statistical Data Management,"Kinson, Christopher L",3.71
STAT 443,Professional Statistics,"Glosemeyer, Darren W",3.6
STAT 447,Data Science Prog Methods,"Eddelbuettel, Dirk",3.66
STAT 447,Data Science Prog Methods,"Singh, Matthew F",3.95
STAT 448,Advanced Data Analysis,"Bravo De Guenni, Lelys",3.63
STAT 448,Advanced Data Analysis,"Glosemeyer, Darren W",2.93
STAT 510,Mathematical Statistics,"Chronopoulou, Alexandra",3.19
STAT 510,Mathematical Statistics,"Culpepper, Steven A",3.24
STAT 525,Intro to Optimization with...,"Zhou, Yuchen",3.88
STAT 528,Adv Regression Analysis II,"Eck, Daniel J",
STAT 541,Advanced Predictive Analytics,"Quan, Zhiyu",
STAT 542,Statistical Learning,"Liang, Feng",3.85
STAT 542,Statistical Learning,"Liu, Jingbo",3.87
STAT 575,Large Sample Theory,"Zhou, Yuchen",
STAT 578,Advanced Topics in Statistical,"Chatterjee, Sabyasachi",
STAT 578,High Dimensional Statistics,"Liu, Jingbo",
STAT 593,STAT Internship,"Lee, Hyoeun",
