course_id,course_title,primary_instructor,average_grade
CMN 101,Public Speaking,"Okegbe, Samantha I",3.72
CMN 101,Public Speaking,"Persad-Maharaj, Tamara",3.59
CMN 101,Public Speaking,"Richards, Viveca A",
CMN 101,Public Speaking,"Rodrigues Gomes, Luis Alb",3.88
CMN 101,Public Speaking,"Shields, Lillianna R",3.58
CMN 101,Public Speaking,"St John, Jeremiah",3.5
CMN 101,Public Speaking,"Stewart, Nathaniel M",3.06
CMN 101,Public Speaking,"Toler, Catherine C",3.79
CMN 101,Public Speaking,"White, Nia",3.4
CMN 101,Public Speaking,"Yan, Jia",
CMN 102,Introduction to Communication,"G Son, Gopashis Biswas",3.11
CMN 102,Introduction to Communication,"Quick, Brian L",3.0
CMN 111,Oral & Written Comm I,"De Oliveira Mir, Renata",3.6
CMN 111,Oral & Written Comm I,"Edor, Matthew",3.77
CMN 111,Oral & Written Comm I,"G Son, Gopashis Biswas",3.47
CMN 111,Oral & Written Comm I,"Kincer, Terry M",3.14
CMN 111,Oral & Written Comm I,"Murphy, Kathleen B",3.78
CMN 111,Oral & Written Comm I,"Murphy, Margaret A",3.83
CMN 111,Oral & Written Comm I,"Shields, Lillianna R",3.67
CMN 112,Oral & Written Comm II,"De Oliveira Mir, Renata",3.87
CMN 112,Oral & Written Comm II,"Edor, Matthew",3.78
CMN 112,Oral & Written Comm II,"G Son, Gopashis Biswas",
CMN 112,Oral & Written Comm II,"Kincer, Terry M",
CMN 112,Oral & Written Comm II,"Klajbor, Michael F",
CMN 112,Oral & Written Comm II,"Murphy, Kathleen B",3.35
CMN 112,Oral & Written Comm II,"Murphy, Margaret A",3.81
CMN 112,Oral & Written Comm II,"Sanders, Jacob D",
CMN 112,Oral & Written Comm II,"Wright, Anna M",3.64
CMN 204,Internship in Teaching Comm,"Giorgio, Grace A",
CMN 210,Public Comm in Everyday Life,"O'Gorman, Thomas E",3.42
CMN 211,Business and Professional Comm,"Bunch, Caroline M",3.66
CMN 211,Business and Professional Comm,"Cunningham, Leanne M",3.5
CMN 212,Intro to Organizational Comm,"Kim, Min Kyung",3.53
CMN 213,Small Group Communication,"Barley, William",3.32
CMN 214,Org Comm & Diversity,"Wright-Dixon, Trina J",3.43
CMN 215,Interviewing,"Lombardi, Carol C",
CMN 220,Communicating Public Policy,"Golding, Wallace S",3.72
CMN 230,Intro to Interpersonal Comm,"Guntzviller, Lisa",3.54
CMN 232,Intro to Intercultural Comm,"Caddell, Mackenzie E",3.44
CMN 232,Intro to Intercultural Comm,"Koven, Michele E",3.46
CMN 250,Social Movement Communication,"Cisneros, Josue D",3.63
CMN 250,Social Movement Communication,"Kolson, Erica R",3.53
CMN 260,Intro to Health Communication,"Babu, Sara",3.37
CMN 260,Intro to Health Communication,"Chung, Minhey",3.23
CMN 277,Intro to Mediated Comm,"Coles, Stewart M",3.46
CMN 277,Intro to Mediated Comm,"Dixon, Travis L",3.18
CMN 280,Comm Technology & Society,"Yang, JungHwan",3.48
CMN 314,Organizations and Communities,"Kim, Min Kyung",3.42
CMN 321,Strategies of Persuasion,"Murphy, John M",2.6
CMN 323,Argumentation,"Melendez, Tanya",3.52
CMN 323,Argumentation,"Murphy, John M",2.97
CMN 326,Mass Media and the Audience,"Fujimoto, Elinor M",2.85
CMN 326,Mass Media and the Audience,"Hartman, Daniel",3.12
CMN 327,Comm and Public Opinion,"Van Duyn, Emily E",2.86
CMN 328,Social Media and Politics,"Van Duyn, Emily E",3.32
CMN 336,Communicating in Families,"Ramey, Mary E",3.78
CMN 338,Relationships and Technologies,"Mendelson, Emily",3.13
CMN 340,Visual Politics,"Fields, Victoria T",3.86
CMN 345,Visual Media Effects,"Bigsby, Elisabeth",3.06
CMN 361,Storytelling as Oral Comm,"Bishop, Mardia J",3.28
CMN 368,Sexual Communication,"Ramey, Mary E",3.66
CMN 375,Imagining the Past and Future,"Giorgio, Grace A",3.73
CMN 375,The American Family,"Giorgio, Grace A",3.69
CMN 396,"Clouds, Crowds, and Community","Barbour, Joshua B",
CMN 396,Communication & Leadership,"Jones Barbour, Jennifer L",3.53
CMN 396,Leading Nonprofits,"Guyette, Rebecca A",3.87
CMN 396,Media Stories & Society,"Mustafaj, Matea",3.67
CMN 396,Media and Crime,"Coles, Stewart M",3.34
CMN 396,Organizational Change,"Barbour, Joshua B",
CMN 410,Workplace Comm Technology,"Barley, William",3.38
CMN 425,Entertainment and Politics,"Coles, Stewart M",3.73
CMN 432,Gender Communication,"Giorgio, Grace A",3.72
CMN 435,Building Interpersonal Skills,"Guntzviller, Lisa",3.72
CMN 450,Presidential Rhetoric,"Murphy, John M",
CMN 462,Health Comm in Relationships,"Thompson, Charee M",3.34
CMN 465,Social Marketing,"Quick, Brian L",3.6
CMN 467,Communication & Health Equity,"Bigman-Galimore, Cabral A",
CMN 505,Provider-Patient Communication,"Clark, Louise E",
CMN 508,Health Marketing,"Quick, Brian L",
CMN 529,AI & Computational Comm,"Yang, JungHwan",
CMN 529,Family Communication,"Caughlin, John P",
CMN 529,"Language, Culture & Identity","Koven, Michele E",
CMN 529,Organizations & Community,"Kim, Min Kyung",
CMN 529,Persuasion,"Quick, Brian L",
CMN 529,Political Communication,"Coles, Stewart M",
CMN 538,Intro Rhet & Crit/Cult Studies,"Cisneros, Josue D",
CMN 575,Capstone Individual Study,"Weiner, Lauren H",
CMN 595,Family Health Comm,"Weiner, Lauren H",
CMN 595,Healthcare Teams,"Jones Barbour, Jennifer L",
CMN 595,Special Problems,"Weiner, Lauren H",
CMN 595,Stigma in Healthcare,"Thompson, Charee M",3.43
CS 101,Intro Computing: Engrg & Sci,"Beckman, Mattox A",3.49
CS 101,Intro Computing: Engrg & Sci,"Butler, Liia M",3.56
CS 105,Intro Computing: Non-Tech,"Fowler, Maxwell L",3.36
CS 124,Intro to Computer Science I,"Challen, Geoffrey W",3.57
CS 128,Intro to Computer Science II,"Nowak, Michael",3.68
CS 128,Intro to Computer Science II,"Schatz, Jule",3.65
CS 173,Discrete Structures,"Evans, Graham C",3.2
CS 173,Discrete Structures,"Fleck, Margaret M",3.18
CS 199,CA Training,"Lewis, Colleen M",
CS 199,CS Stars,"Amato, Nancy M",
CS 199,Computational Tech & Society,"Challen, Geoffrey W",
CS 199,Pedagogy Practicum,"Challen, Geoffrey W",
CS 210,Ethical & Professional Issues,"Cunningham, Ryan M",3.58
CS 211,Ethical & Professional Conduct,"Cunningham, Ryan M",3.75
CS 222,Software Design Lab,"Woodley, Michael J",3.84
CS 225,Data Structures,"Evans, Graham C",3.47
CS 225,Data Structures,"Kindratenko, Volodymyr",3.62
CS 225,Data Structures,"Solomon, Brad R",3.48
CS 233,Computer Architecture,"Zilles, Craig",3.6
CS 277,Algo & Data Stru for Data Sci,"Solomon, Brad R",3.63
CS 307,Model & Learning in Data Sci,"Dalpiaz, David M",3.67
CS 340,Intro to Computer Systems,"Tychonievich, Luther A",3.54
CS 341,System Programming,"Angrave, Lawrence",3.76
CS 357,Numerical Methods I,"Silva, Mariana T",3.54
CS 361,Prob & Stat for Computer Sci,"Liu, Hongye",3.6
CS 374,Intro to Algs & Models of Comp,"Abraham, Ivan T",3.22
CS 374,Intro to Algs & Models of Comp,"Chekuri, Chandra S",2.99
CS 374,Intro to Algs & Models of Comp,"Har-Peled, Sariel",3.11
CS 374,Intro to Algs & Models of Comp,"Umrawal, Abhishek Kumar",3.12
CS 400,Accel Fund of Computing I,"Williams, Tiffani L",3.51
CS 401,Accel Fund of Algorithms I,"Gertner, Yael",3.8
CS 402,Accel Fund of Computing II,"Williams, Tiffani L",
CS 403,Accel Fund of Algorithms II,"Gertner, Yael",
CS 409,The Art of Web Programming,"Kumar, Ranjitha",3.7
CS 410,Text Information Systems,"Robles Granda, Pablo D",3.92
CS 410,Text Information Systems,"Zhai, Chengxiang",3.9
CS 411,Database Systems,"Alawini, Abdussalam A",3.86
CS 411,Database Systems,"Chang, Kevin C",3.89
CS 412,Introduction to Data Mining,"Banerjee, Arindam",3.78
CS 412,Introduction to Data Mining,"Tahboub, Ruby",3.69
CS 415,Game Development,"Shaffer, Eric G",3.74
CS 416,Data Visualization,"Hart, John C",3.82
CS 418,Interactive Computer Graphics,"Tychonievich, Luther A",3.42
CS 421,Progrmg Languages & Compilers,"Beckman, Mattox A",3.54
CS 421,Progrmg Languages & Compilers,"Gunter, Elsa",3.06
CS 421,Progrmg Languages & Compilers,"Misailovic, Sasa",3.4
CS 423,Operating Systems Design,"Alagappan, Ramnatthan",3.89
CS 423,Operating Systems Design,"Xu, Tianyin",3.49
CS 424,Real-Time Systems,"Abdelzaher, Tarek",3.74
CS 425,Distributed Systems,"Gupta, Indranil",3.52
CS 425,Distributed Systems,"Mittal, Radhika",3.33
CS 426,Compiler Construction,"Mendis, Thirimadura C",3.55
CS 427,Software Engineering I,"Marinov, Darko",3.72
CS 427,Software Engineering I,"Zhang, Lingming",3.79
CS 431,Embedded Systems,"Sha, Lui R",3.5
CS 433,Computer System Organization,"Adve, Sarita V",3.17
CS 433,Computer System Organization,"Ghose, Saugata",3.34
CS 435,Cloud Networking,"Godfrey, Philip B",3.88
CS 437,Networked IoT Systems,"Caesar, Matthew C",3.29
CS 437,Topics in Internet of Things,"Caesar, Matthew C",3.59
CS 438,Communication Networks,"Soltanaghai, Elahe",3.52
CS 438,Communication Networks,"Wei, Yu-Lin",3.59
CS 440,Artificial Intelligence,"Fleck, Margaret M",3.42
CS 440,Artificial Intelligence,"Hasegawa-Johnso, Mark A",3.85
CS 441,Applied Machine Learning,"Hoiem, Derek W",3.88
CS 441,Applied Machine Learning,"Morales Aguirre, Marco An",3.82
CS 442,Trustworthy Machine Learning,"Zhao, Han",2.85
CS 444,Deep Learning for Compt Visn,"Gupta, Saurabh",3.32
CS 444,Deep Learning for Compt Visn,"Lazebnik, Svetlana",3.87
CS 445,Computational Photography,"Hoiem, Derek W",3.76
CS 445,Computational Photography,"Wang, Yuxiong",3.85
CS 446,Machine Learning,"Gui, Liangyan",3.52
CS 446,Machine Learning,"Zhang, Tong",3.48
CS 447,Natural Language Processing,"Hockenmaier, Julia C",3.71
CS 448,Audio Computing Laboratory,"Smaragdis, Paris",3.55
CS 450,Numerical Analysis,"Fischer, Paul",3.48
CS 450,Numerical Analysis,"Kloeckner, Andreas P",3.37
CS 461,Computer Security I,"Bates, Adam",
CS 461,Computer Security I,"Borisov, Nikita",2.98
CS 461,Computer Security I,"Ren, Ling",3.24
CS 463,Computer Security II,"Chandrasekaran, Varun",3.56
CS 463,Computer Security II,"Wang, Gang",3.88
CS 464,Topics in Societal Impacts,"Cobb, Camille M",3.56
CS 465,User Interface Design,"Bailey, Brian P",3.63
CS 466,Introduction to Bioinformatics,"El-Kebir, Mohammed",3.45
CS 470,Social and Information Network,"Sundaram, Hari",3.94
CS 473,Algorithms,"Chan, Timothy M",3.13
CS 473,Algorithms,"Erickson, Jeff G",3.29
CS 477,Formal Software Devel Methods,"Singh, Gagandeep",3.59
CS 484,Parallel Programming,"Rauchwerger, Lawrence",3.64
CS 493,"Senior Project II, ACP","Woodley, Michael J",
CS 494,Senior Project II,"Woodley, Michael J",
CS 498,Cloud Computing Applications,"Farivar, Reza",3.62
CS 498,Computational Geometry,"Chan, Timothy M",3.54
CS 498,Computational Social Science,"Chandrasekharan, Eshwar",3.88
CS 498,Data Management in the Cloud,"Alawini, Abdussalam A",3.82
CS 498,Intro to Quantum Computing,"Sinha, Makrand",3.94
CS 498,Law &Policy Issues in CS,"Cunningham, Ryan M",3.66
CS 498,Machine Learning System,"Zhang, Minjia",
CS 500,Broadening Particip in CS Ed,"Lewis, Colleen M",3.96
CS 510,Advanced Information Retrieval,"Zhai, Chengxiang",3.98
CS 511,Advanced Data Management,"Park, Yongjoo",3.73
CS 514,Adv Social and Info Networks,"Sundaram, Hari",
CS 519,Scientific Visualization,"Shaffer, Eric G",3.78
CS 521,ML & Compilers,"Mendis, Thirimadura C",
CS 521,ML & Compilers,"Misailovic, Sasa",3.79
CS 521,Tech Found of Blockchain,"Rosu, Grigore",3.9
CS 523,Advanced Operating Systems,"Xu, Tianyin",3.82
CS 524,Concurrent Progrmg Languages,"Meseguer, Jose",
CS 525,Advanced Distributed Systems,"Gupta, Indranil",
CS 526,Advanced Compiler Construction,"Adve, Vikram S",
CS 527,Topics in Software Engineering,"Marinov, Darko",3.8
CS 533,Parallel Computer Architecture,"Torrellas, Josep",3.69
CS 534,Adv Topics in Comp Arch,"Ghose, Saugata",3.66
CS 537,Advanced Topics in IoT,"Nahrstedt, Klara",3.61
CS 538,Advanced Computer Networks,"Yan, Francis Y",3.97
